user,date,error_logon,error_http,error_device,error_file
U0001,2024-01-10T00:00:00.000000000,9.377690003020689e-05,0.0017967595485970378,0.0011306075612083077,0.008395573124289513
U0001,2024-01-11T00:00:00.000000000,0.00010924621892627329,0.003745690919458866,0.0011306075612083077,0.002791498089209199
U0001,2024-01-12T00:00:00.000000000,0.002694912487640977,0.0002503430296201259,0.0011306075612083077,0.00459004333242774
U0001,2024-01-15T00:00:00.000000000,0.005608291365206242,8.255454304162413e-05,0.0011306075612083077,0.011507773771882057
U0001,2024-01-16T00:00:00.000000000,0.0009575083968229592,0.00046097670565359294,0.0011306075612083077,0.002030718605965376
U0001,2024-01-17T00:00:00.000000000,0.004263598006218672,0.0001942697708727792,0.0011306075612083077,0.0010834441054612398
U0001,2024-01-18T00:00:00.000000000,0.0053537278436124325,0.004855722654610872,0.0011306075612083077,0.00010228242899756879
U0001,2024-01-19T00:00:00.000000000,0.003808411071076989,3.062264795516967e-06,0.0011306075612083077,0.0038016531616449356
U0001,2024-01-20T00:00:00.000000000,0.1570652276277542,0.0006962316110730171,0.0011306075612083077,0.018853258341550827
U0001,2024-01-22T00:00:00.000000000,0.0009937514550983906,0.0008642858592793345,0.0011306075612083077,0.018420925363898277
U0001,2024-01-23T00:00:00.000000000,0.012432800605893135,0.16917461156845093,0.0011306075612083077,0.005716932471841574
U0001,2024-01-24T00:00:00.000000000,0.002869767602533102,0.010468116961419582,0.0011306075612083077,0.008192429319024086
U0001,2024-01-25T00:00:00.000000000,0.006212393753230572,0.003180482890456915,0.0011306075612083077,0.019533762708306313
U0001,2024-01-26T00:00:00.000000000,0.008112981915473938,0.0011230059899389744,0.0011306075612083077,0.006654700264334679
U0001,2024-01-29T00:00:00.000000000,0.012211285531520844,0.008190843276679516,0.0011306075612083077,0.0059928311966359615
U0001,2024-01-30T00:00:00.000000000,6.404413579730317e-05,0.0006934600532986224,0.0011306075612083077,0.0029164785519242287
U0001,2024-01-31T00:00:00.000000000,0.0029244732577353716,0.001337845460511744,0.0011306075612083077,0.003371329279616475
U0001,2024-02-01T00:00:00.000000000,0.024932948872447014,0.00526406429708004,0.0011306075612083077,6.109818059485406e-06
U0001,2024-02-02T00:00:00.000000000,0.007612800691276789,2.822078204189893e-05,0.0011306075612083077,0.006317400839179754
